userid,query,xid,pid,segment,step,starttime,endtime,elapsed,aborted,external_table_name,file_format,is_partitioned,is_rrscan,is_nested,s3_scanned_rows,s3_scanned_bytes,s3query_returned_rows,s3query_returned_bytes,files,files_max,files_avg,splits,splits_max,splits_avg,total_split_size,max_split_size,avg_split_size,total_retries,max_retries,max_request_duration,avg_request_duration,max_request_parallelism,avg_request_parallelism,total_slowdown_count,max_slowdown_count
100,1757659,23903137,27460,0,0,2020-06-15 11:51:54.352557,2020-06-15 11:52:46.740687,52388130,0,S3 Scan spectrum_fulltrack_new_trusted_zone,"Parquet         ",f,f,f,14980196638,93791975186,1424,9343,23517,1799,1679,23977,1830,1712,1080290102609,150991716,45055265,0,0,5311703,269663,10,10.0,0,0
100,1765994,23917317,4573,0,0,2020-06-15 13:04:50.671205,2020-06-15 13:05:08.422291,17751086,0,S3 Scan spectrum_fulltrack_new_trusted_zone,"Parquet         ",f,f,f,14983839839,382954270201,0,4489659,23549,1799,1682,24009,1830,1714,1080590677007,150991716,45007733,0,0,2691006,82432,10,10.0,0,0
100,1767588,23919963,6470,0,0,2020-06-15 13:17:28.738940,2020-06-15 13:17:40.004336,11265396,0,S3 Scan spectrum_fulltrack_new_trusted_zone,"Parquet         ",f,f,f,14984409106,93818534409,177,4325547,23554,1799,1682,24014,1830,1715,1080637741893,150991716,45000322,0,0,1991647,57681,10,10.0,0,0
100,1773948,23931046,14206,0,0,2020-06-15 14:10:49.040972,2020-06-15 14:11:46.003643,56962671,0,S3 Scan spectrum_fulltrack_new_trusted_zone,"Parquet         ",f,f,f,14987141921,93836009704,623,2205,23578,1800,1684,24038,1831,1717,1080863902279,150991716,44964801,1,1,6417562,302141,10,10.0,0,0
100,1773963,23931069,14231,0,0,2020-06-15 14:10:52.342810,2020-06-15 14:11:49.405306,57062496,0,S3 Scan spectrum_fulltrack_new_trusted_zone,"Parquet         ",f,f,f,14987141921,93836009704,184,1190,23578,1800,1684,24038,1831,1717,1080863902279,150991716,44964801,1,1,3247097,298721,10,10.0,0,0
100,1775361,23933610,15843,0,0,2020-06-15 14:26:08.913789,2020-06-15 14:27:50.569614,101655825,0,S3 Scan spectrum_fulltrack_new_trusted_zone,"Parquet         ",f,f,f,14987939086,383100221835,0,0,23585,1801,1684,24045,1832,1717,1080929796729,150991716,44954451,0,0,3266534,543821,10,10.0,0,0
100,1784068,23950249,26450,0,0,2020-06-15 16:25:22.508292,2020-06-15 16:29:12.414911,229906619,0,S3 Scan spectrum_fulltrack_new_trusted_zone,"Parquet         ",f,f,f,13806345578,1026871847567,3,1032,23633,1801,1688,24093,1832,1720,1081377356225,150991716,44883466,0,0,14544216,1269056,10,10.0,0,0
100,1784670,23951544,26450,0,0,2020-06-15 16:34:11.677489,2020-06-15 16:38:36.134712,264457223,0,S3 Scan spectrum_fulltrack_new_trusted_zone,"Parquet         ",f,f,f,13287127534,1001212613480,1,702,23637,1801,1688,24097,1832,1721,1081414903300,150991716,44877574,5,1,30668770,1372510,10,10.0,0,0
100,1788583,23958582,26450,0,0,2020-06-15 17:16:15.008690,2020-06-15 17:19:10.040797,175032107,0,S3 Scan spectrum_fulltrack_new_trusted_zone,"Parquet         ",f,f,f,7039867432,695392451698,0,0,23655,1802,1689,24115,1833,1722,1081584372505,150991716,44851103,0,0,6384340,950573,10,10.0,0,0
100,1788871,23959083,5725,0,0,2020-06-15 17:18:55.421805,2020-06-15 17:19:58.824839,63403034,0,S3 Scan spectrum_fulltrack_new_trusted_zone,"Parquet         ",f,f,f,14996023800,93891453371,1672,10529,23656,1802,1689,24116,1833,1722,1081593784675,150991716,44849634,0,0,2931154,326974,10,10.0,0,0
